2026-08-07 16:02:25,111 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-08-07 16:02:25,111 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-08-07 16:02:49,527 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "[32mGET / HTTP/1.1[0m" 302 -
2026-08-07 16:02:49,541 | INFO | bytech.worker_embutido | Worker embutido iniciado (intervalo=60s, lote=30).
2026-08-07 16:02:49,585 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "GET /demo HTTP/1.1" 200 -
2026-08-07 16:02:49,619 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "GET /static/css/style.css?v=14 HTTP/1.1" 200 -
2026-08-07 16:02:49,639 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "GET /static/img/bytech-agenda-icon.png HTTP/1.1" 200 -
2026-08-07 16:02:49,761 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "[36mGET /static/css/style.css?v=14 HTTP/1.1[0m" 304 -
2026-08-07 16:02:49,774 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:49] "GET /static/img/favicon.png HTTP/1.1" 200 -
2026-08-07 16:02:57,010 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:57] "GET /demo HTTP/1.1" 200 -
2026-08-07 16:02:57,032 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:57] "GET /static/css/style.css?v=14 HTTP/1.1" 200 -
2026-08-07 16:02:57,044 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:57] "GET /static/img/bytech-agenda-icon.png HTTP/1.1" 200 -
2026-08-07 16:02:57,151 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:02:57] "GET /static/img/favicon.png HTTP/1.1" 200 -
2026-08-07 16:03:01,427 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /demo/agendar HTTP/1.1" 200 -
2026-08-07 16:03:01,472 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/css/style.css?v=25 HTTP/1.1" 200 -
2026-08-07 16:03:01,496 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "[36mGET /static/img/bytech-agenda-icon.png HTTP/1.1[0m" 304 -
2026-08-07 16:03:01,503 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/main.js?v=2 HTTP/1.1" 200 -
2026-08-07 16:03:01,555 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/servicos.js HTTP/1.1" 200 -
2026-08-07 16:03:01,556 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/horarios.js HTTP/1.1" 200 -
2026-08-07 16:03:01,557 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/fluxo.js HTTP/1.1" 200 -
2026-08-07 16:03:01,557 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/api.js HTTP/1.1" 200 -
2026-08-07 16:03:01,574 | INFO | werkzeug | 127.0.0.1 - - [07/Aug/2026 16:03:01] "GET /static/js/interface.js HTTP/1.1" 200 -
